"observed_index","true_index","var_type"
"X1","X179","strong_correlated"
"X10","X66","strong_correlated"
"X100","X183","strong_correlated"
"X101","X98","strong_correlated"
"X102","X155","strong_correlated"
"X103","X145","strong_correlated"
"X104","X86","strong_correlated"
"X105","X198","strong_uncorrelated"
"X106","X104","strong_correlated"
"X107","X149","strong_correlated"
"X108","X170","strong_correlated"
"X109","X103","strong_correlated"
"X11","X64","strong_correlated"
"X110","X44","strong_correlated"
"X111","X175","strong_correlated"
"X112","X177","strong_correlated"
"X113","X173","strong_correlated"
"X114","X57","strong_correlated"
"X115","X54","strong_correlated"
"X116","X83","strong_correlated"
"X117","X8","weak"
"X118","X131","strong_correlated"
"X119","X60","strong_correlated"
"X12","X138","strong_correlated"
"X120","X88","strong_correlated"
"X121","X120","strong_correlated"
"X122","X189","strong_correlated"
"X123","X172","strong_correlated"
"X124","X197","strong_uncorrelated"
"X125","X17","strong_correlated"
"X126","X190","strong_correlated"
"X127","X59","strong_correlated"
"X128","X188","strong_correlated"
"X129","X55","strong_correlated"
"X13","X178","strong_correlated"
"X130","X65","strong_correlated"
"X131","X50","strong_correlated"
"X132","X90","strong_correlated"
"X133","X11","strong_correlated"
"X134","X67","strong_correlated"
"X135","X25","strong_correlated"
"X136","X24","strong_correlated"
"X137","X101","strong_correlated"
"X138","X186","strong_correlated"
"X139","X164","strong_correlated"
"X14","X41","strong_correlated"
"X140","X157","strong_correlated"
"X141","X117","strong_correlated"
"X142","X48","strong_correlated"
"X143","X30","strong_correlated"
"X144","X121","strong_correlated"
"X145","X146","strong_correlated"
"X146","X80","strong_correlated"
"X147","X13","strong_correlated"
"X148","X62","strong_correlated"
"X149","X96","strong_correlated"
"X15","X76","strong_correlated"
"X150","X93","strong_correlated"
"X151","X110","strong_correlated"
"X152","X115","strong_correlated"
"X153","X105","strong_correlated"
"X154","X37","strong_correlated"
"X155","X168","strong_correlated"
"X156","X161","strong_correlated"
"X157","X141","strong_correlated"
"X158","X21","strong_correlated"
"X159","X140","strong_correlated"
"X16","X79","strong_correlated"
"X160","X3","weak"
"X161","X180","strong_correlated"
"X162","X46","strong_correlated"
"X163","X151","strong_correlated"
"X164","X23","strong_correlated"
"X165","X156","strong_correlated"
"X166","X56","strong_correlated"
"X167","X85","strong_correlated"
"X168","X134","strong_correlated"
"X169","X199","strong_uncorrelated"
"X17","X81","strong_correlated"
"X170","X127","strong_correlated"
"X171","X113","strong_correlated"
"X172","X87","strong_correlated"
"X173","X130","strong_correlated"
"X174","X143","strong_correlated"
"X175","X126","strong_correlated"
"X176","X75","strong_correlated"
"X177","X124","strong_correlated"
"X178","X34","strong_correlated"
"X179","X42","strong_correlated"
"X18","X38","strong_correlated"
"X180","X159","strong_correlated"
"X181","X165","strong_correlated"
"X182","X135","strong_correlated"
"X183","X109","strong_correlated"
"X184","X91","strong_correlated"
"X185","X35","strong_correlated"
"X186","X52","strong_correlated"
"X187","X51","strong_correlated"
"X188","X133","strong_correlated"
"X189","X166","strong_correlated"
"X19","X108","strong_correlated"
"X190","X20","strong_correlated"
"X191","X18","strong_correlated"
"X192","X195","strong_uncorrelated"
"X193","X181","strong_correlated"
"X194","X47","strong_correlated"
"X195","X139","strong_correlated"
"X196","X107","strong_correlated"
"X197","X171","strong_correlated"
"X198","X27","strong_correlated"
"X199","X191","strong_uncorrelated"
"X2","X49","strong_correlated"
"X20","X192","strong_uncorrelated"
"X200","X111","strong_correlated"
"X21","X118","strong_correlated"
"X22","X22","strong_correlated"
"X23","X61","strong_correlated"
"X24","X32","strong_correlated"
"X25","X77","strong_correlated"
"X26","X19","strong_correlated"
"X27","X94","strong_correlated"
"X28","X63","strong_correlated"
"X29","X6","weak"
"X3","X69","strong_correlated"
"X30","X176","strong_correlated"
"X31","X68","strong_correlated"
"X32","X5","weak"
"X33","X36","strong_correlated"
"X34","X144","strong_correlated"
"X35","X148","strong_correlated"
"X36","X15","strong_correlated"
"X37","X116","strong_correlated"
"X38","X16","strong_correlated"
"X39","X129","strong_correlated"
"X4","X167","strong_correlated"
"X40","X187","strong_correlated"
"X41","X194","strong_uncorrelated"
"X42","X82","strong_correlated"
"X43","X142","strong_correlated"
"X44","X196","strong_uncorrelated"
"X45","X95","strong_correlated"
"X46","X122","strong_correlated"
"X47","X97","strong_correlated"
"X48","X114","strong_correlated"
"X49","X73","strong_correlated"
"X5","X39","strong_correlated"
"X50","X100","strong_correlated"
"X51","X40","strong_correlated"
"X52","X89","strong_correlated"
"X53","X72","strong_correlated"
"X54","X137","strong_correlated"
"X55","X136","strong_correlated"
"X56","X33","strong_correlated"
"X57","X193","strong_uncorrelated"
"X58","X158","strong_correlated"
"X59","X58","strong_correlated"
"X6","X128","strong_correlated"
"X60","X106","strong_correlated"
"X61","X112","strong_correlated"
"X62","X132","strong_correlated"
"X63","X53","strong_correlated"
"X64","X28","strong_correlated"
"X65","X184","strong_correlated"
"X66","X150","strong_correlated"
"X67","X71","strong_correlated"
"X68","X169","strong_correlated"
"X69","X2","weak"
"X7","X102","strong_correlated"
"X70","X45","strong_correlated"
"X71","X125","strong_correlated"
"X72","X185","strong_correlated"
"X73","X31","strong_correlated"
"X74","X160","strong_correlated"
"X75","X123","strong_correlated"
"X76","X29","strong_correlated"
"X77","X12","strong_correlated"
"X78","X162","strong_correlated"
"X79","X200","strong_uncorrelated"
"X8","X174","strong_correlated"
"X80","X99","strong_correlated"
"X81","X119","strong_correlated"
"X82","X182","strong_correlated"
"X83","X92","strong_correlated"
"X84","X9","weak"
"X85","X84","strong_correlated"
"X86","X152","strong_correlated"
"X87","X147","strong_correlated"
"X88","X26","strong_correlated"
"X89","X74","strong_correlated"
"X9","X1","weak"
"X90","X14","strong_correlated"
"X91","X153","strong_correlated"
"X92","X7","weak"
"X93","X10","weak"
"X94","X78","strong_correlated"
"X95","X154","strong_correlated"
"X96","X70","strong_correlated"
"X97","X43","strong_correlated"
"X98","X163","strong_correlated"
"X99","X4","weak"
